r,t,region_name,tech_name,cat,renew,peak_GW,first_GW,last_GW,n_dips,biggest_dip_GW,biggest_pos_delta_GW,pulse_ratio,monotone_increasing
R17,P21252,Malaysia,Gas Combined Cycle_MYSB,Gas,False,1.4940000000000002,1.1825,1.4940000000000002,1,-0.08040000000000003,0.3042,1.5524368461342175,False
R20,P2516,Timor Leste,Electricity,Other,False,0.19839737353330866,0.07673870946659472,0.14048993804025675,1,-0.07673870946659474,0.1040589396788751,10.40417423421433,False
R17,P21274,Malaysia,Gas Combined Cycle_MYSR,Gas,False,1.9602001,1.706,1.9602001,1,-0.0656000000000001,0.24903340000000007,1.5574316580889123,False
R1,P14612,Indonesia,Anaerobic Digestion,Other,False,0.09575854268196635,0.03890510770321319,0.05205359941300283,0,0.0,0.05205359941300283,1.8311505516757578,True
R1,P14937,Indonesia,SMR,Other,False,1.3470816512446642,0.0016318214645085563,1.3470816512446642,0,0.0,0.3717067289194158,1.1436376559685488,True
R1,P15103,Indonesia,PEM Electrolysis,Other,False,0.09682443000152487,0.03038490099034566,0.06643952901117921,0,0.0,0.06643952901117921,,True
R1,P16040,Indonesia,HVO Renewable Diesel,Diesel,False,15.398107697079599,0.018652887617979445,15.398107697079599,0,0.0,4.248874029530366,2.059534175411675,True
R1,P16110,Indonesia,All Mines,Other,False,3.538573294843591,3.538573294843591,3.538573294843591,0,0.0,0.0,,True
R1,P19874,Indonesia,Gasoline,Other,False,1000000000000.0,1000000000000.0,1000000000000.0,0,0.0,0.0,,True
R1,P19878,Indonesia,Ethanol,Other,False,1000000000000.0,1000000000000.0,1000000000000.0,0,0.0,0.0,,True
R1,P19882,Indonesia,Diesel,Diesel,False,1000000000000.0,1000000000000.0,1000000000000.0,0,0.0,0.0,,True
R1,P19886,Indonesia,Biodiesel,Diesel,False,1000000000000.0,1000000000000.0,1000000000000.0,0,0.0,0.0,,True
R1,P21809,Indonesia,Coal Subcritical_IDEast,Coal,False,9.87624924,9.80624924,9.87624924,0,0.0,0.06400000000000006,1.8285714285714227,True
R1,P21872,Indonesia,Coal Subcritical_IDJW,Coal,False,38.25653401,38.25653401,38.25653401,0,0.0,0.0,,True
R1,P21935,Indonesia,Coal Subcritical_IDKA,Coal,False,3.234069184,2.987069184,3.234069184,0,0.0,0.2469999999999999,,True
R1,P21998,Indonesia,Coal Subcritical_IDSA,Coal,False,8.257987570000001,7.940987570000001,8.257987570000001,0,0.0,0.2530000000000001,1.5962145110410093,True
R1,P22061,Indonesia,Diesel_IDEast,Diesel,False,2.794387735,2.794387735,2.794387735,0,0.0,0.0,,True
R1,P22078,Indonesia,Diesel_IDKA,Diesel,False,1.243633378,1.243633378,1.243633378,0,0.0,0.0,,True
R1,P22095,Indonesia,Diesel_IDSA,Diesel,False,1.4222304730000002,1.417230473,1.4222304730000002,0,0.0,0.0050000000000001155,,True
R1,P22112,Indonesia,Diesel_IDJW,Diesel,False,0.3640284137,0.3640284137,0.3640284137,0,0.0,0.0,,True
