branch_path,variable,units,scale,per
Transformation\Bioethanol Production\Processes\Cassava\Feedstock Fuels\Cassava\Non Methane Volatile Organic Compounds,Avg Environmental Loading,Kilogramme,,Terajoule
Transformation\Bioethanol Production\Processes\Cassava\Feedstock Fuels\Cassava\Sulfur Dioxide,Avg Environmental Loading,Kilogramme,,Terajoule
Transformation\Bioethanol Production\Processes\Corn Ethanol,Capacity Credit,Percent,,
Transformation\Bioethanol Production\Processes\Corn Ethanol,Capital Cost,2020 USD,,Tonne Coal Equiv/Year
Transformation\Bioethanol Production\Processes\Corn Ethanol,Dispatch Rule,None,,
Transformation\Bioethanol Production\Processes\Corn Ethanol,Dispatchable,Yes/No,,
Transformation\Bioethanol Production\Processes\Corn Ethanol,Endogenous Capacity,Tonne Coal Equiv/Year,Million,
Transformation\Bioethanol Production\Processes\Corn Ethanol,Exogenous Capacity,Tonne Coal Equiv/Year,Million,
Transformation\Bioethanol Production\Processes\Corn Ethanol,First Simulation Year,Years,,
Transformation\Bioethanol Production\Processes\Corn Ethanol,Fixed OM Cost,2020 USD,,Tonne Coal Equiv/Year
Transformation\Bioethanol Production\Processes\Corn Ethanol,Historical Production,Tonnes of Oil Equivalent,Thousand,
Transformation\Bioethanol Production\Processes\Corn Ethanol,Interest Rate,Percent,,
Transformation\Bioethanol Production\Processes\Corn Ethanol,Lifetime,Years,,
Transformation\Bioethanol Production\Processes\Corn Ethanol,Maximum Availability,Percent,,
Transformation\Bioethanol Production\Processes\Corn Ethanol,Maximum Capacity,Tonne Coal Equiv/Year,Million,
Transformation\Bioethanol Production\Processes\Corn Ethanol,Maximum Capacity Addition,Tonne Coal Equiv/Year,Million,
Transformation\Bioethanol Production\Processes\Corn Ethanol,Maximum Production,Gigajoule,,
Transformation\Bioethanol Production\Processes\Corn Ethanol,Maximum_Share_of_Production,%,,
Transformation\Bioethanol Production\Processes\Corn Ethanol,Merit Order,Merit Order,,
Transformation\Bioethanol Production\Processes\Corn Ethanol,Minimum Capacity,Tonne Coal Equiv/Year,Million,
Transformation\Bioethanol Production\Processes\Corn Ethanol,Minimum Capacity Addition,Tonne Coal Equiv/Year,Million,
Transformation\Bioethanol Production\Processes\Corn Ethanol,Minimum Production,Gigajoule,,
Transformation\Bioethanol Production\Processes\Corn Ethanol,Minimum Share of Production,Percent,,
Transformation\Bioethanol Production\Processes\Corn Ethanol,Minimum Utilization,Percent,,
Transformation\Bioethanol Production\Processes\Corn Ethanol,Optimized New Capacity,Tonne Coal Equiv/Year,Million,
Transformation\Bioethanol Production\Processes\Corn Ethanol,Process Efficiency,Percent,,
Transformation\Bioethanol Production\Processes\Corn Ethanol,Process Share,Share,%,
Transformation\Bioethanol Production\Processes\Corn Ethanol,Renewable Qualified,Percent,,
Transformation\Bioethanol Production\Processes\Corn Ethanol,Salvage Value,2020 USD,,Tonne Coal Equiv/Year
Transformation\Bioethanol Production\Processes\Corn Ethanol,Stranded Cost,2020 USD,,
Transformation\Bioethanol Production\Processes\Corn Ethanol,Variable OM Cost,2020 USD,,Gigajoule
Transformation\Bioethanol Production\Processes\Corn Ethanol\Feedstock Fuels\Corn,Feedstock Fuel Share,U.S. Dollar,,Tonnes of Coal Equivalent
Transformation\Bioethanol Production\Processes\Corn Ethanol\Feedstock Fuels\Corn,Fuel Cost,U.S. Dollar,,Tonnes of Coal Equivalent
Transformation\Bioethanol Production\Processes\Corn Ethanol\Feedstock Fuels\Corn,Fuel Source,U.S. Dollar,,Tonnes of Coal Equivalent
Transformation\Bioethanol Production\Processes\Molasses,Capacity Credit,Percent,,
Transformation\Bioethanol Production\Processes\Molasses,Capital Cost,2020 USD,,Tonne Coal Equiv/Year
Transformation\Bioethanol Production\Processes\Molasses,Dispatch Rule,None,,
Transformation\Bioethanol Production\Processes\Molasses,Dispatchable,Yes/No,,
Transformation\Bioethanol Production\Processes\Molasses,Endogenous Capacity,Tonne Coal Equiv/Year,Million,
Transformation\Bioethanol Production\Processes\Molasses,Exogenous Capacity,Tonne Coal Equiv/Year,Million,
Transformation\Bioethanol Production\Processes\Molasses,First Simulation Year,Years,,
