ams,branch,branch_type,variable,year,value,unit,unit_source
Brunei,Transformation\Centralized Electricity Generation\Processes\Fuel Oil,Transformation Process,Power Generation,2060,3114.019812456001,Megawatt,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Fuel Oil,Transformation Process,Curtailed Energy Production,2045,134.10505639000112,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Fuel Oil,Transformation Process,Curtailed Energy Production,2050,536.4202255600045,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Fuel Oil,Transformation Process,Curtailed Energy Production,2055,783.0254685849058,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Fuel Oil,Transformation Process,Curtailed Energy Production,2060,783.0254685849058,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Gas Steam,Transformation Process,Power Generation,2045,121.3401065530872,Megawatt,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Gas Steam,Transformation Process,Power Generation,2050,93.33854350237478,Megawatt,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle with CCS,Transformation Process,Energy Generation,2025,294012.2972444015,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle with CCS,Transformation Process,Power Generation,2025,164799.36,Megawatt,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle with CCS,Transformation Process,Curtailed Energy Production,2025,289435.214434143,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Nuclear LWR,Transformation Process,Energy Generation,2025,285652.82461321383,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Nuclear LWR,Transformation Process,Energy Generation,2030,1113.6844098384463,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Nuclear LWR,Transformation Process,Energy Generation,2060,1778.0316995099954,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Nuclear LWR,Transformation Process,Power Generation,2025,159867.16297427283,Megawatt,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Nuclear LWR,Transformation Process,Power Generation,2060,3460.1743716761266,Megawatt,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Nuclear LWR,Transformation Process,Curtailed Energy Production,2025,283294.29072243406,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Nuclear LWR,Transformation Process,Curtailed Energy Production,2030,307.58678411525136,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Nuclear LWR,Transformation Process,Curtailed Energy Production,2060,1727.364569939826,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Nuclear SMR,Transformation Process,Energy Generation,2025,268305.15336890257,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Nuclear SMR,Transformation Process,Energy Generation,2060,1691.5865170635875,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Nuclear SMR,Transformation Process,Power Generation,2025,156475.2742099714,Megawatt,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Nuclear SMR,Transformation Process,Power Generation,2030,202.45548256237268,Megawatt,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Nuclear SMR,Transformation Process,Power Generation,2060,3291.9459846691007,Megawatt,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Nuclear SMR,Transformation Process,Curtailed Energy Production,2025,279086.29558277735,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Nuclear SMR,Transformation Process,Curtailed Energy Production,2030,4.669036817484016e-12,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Nuclear SMR,Transformation Process,Curtailed Energy Production,2060,1665.2524771547714,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Nuclear SFR,Transformation Process,Energy Generation,2025,299200.0,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Nuclear SFR,Transformation Process,Energy Generation,2030,2.334518408742008e-12,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Nuclear SFR,Transformation Process,Energy Generation,2040,21028.36479485165,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Nuclear SFR,Transformation Process,Energy Generation,2060,1643.4906675865013,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Nuclear SFR,Transformation Process,Power Generation,2025,154151.55880214326,Megawatt,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Nuclear SFR,Transformation Process,Power Generation,2030,1.285852739535098e-12,Megawatt,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Nuclear SFR,Transformation Process,Power Generation,2060,3198.348088866416,Megawatt,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Nuclear SFR,Transformation Process,Curtailed Energy Production,2025,299200.0,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Nuclear SFR,Transformation Process,Curtailed Energy Production,2040,3676.6885945683584,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Nuclear SFR,Transformation Process,Curtailed Energy Production,2060,1629.9209490166545,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Large Hydro,Transformation Process,Energy Generation,2025,299200.0,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Large Hydro,Transformation Process,Energy Generation,2030,2.334518408742008e-12,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Large Hydro,Transformation Process,Energy Generation,2040,5.050467995134097e-11,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Large Hydro,Transformation Process,Energy Generation,2060,1543.845263577593,Gigajoule,inferred
